[0;32mI (45542) app_main: t=1605354904 528142000[0m
[0;32mI (46532) app_main: t=1605354905 518142000[0m
RX 46413850 8540509 8540505 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok 0
RX 46414135 285 285 b 1
RX 46415405 1270 1270 a 0
RX 46415682 277 275 b 1
RX 46415948 266 265 b 0
RX 46416229 281 280 b 1
RX 46417515 1286 1285 a 0
RX 46417797 282 280 b 1
RX 46418064 267 265 b 0
RX 46418345 281 280 b 1
RX 46418609 264 260 b 0
RX 46418893 284 280 b 1
RX 46420186 1293 1290 a 0
RX 46420459 273 270 b 1
RX 46420732 273 270 b 0
RX 46421003 271 270 b 1
RX 46422350 1347 1345 a 0
RX 46422621 271 270 b 1
RX 46423915 1294 1290 a 0
RX 46424189 274 270 b 1
RX 46424467 278 275 b 0
RX 46424741 274 270 b 1
RX 46426033 1292 1290 a 0
RX 46426307 274 270 b 1
RX 46426580 273 270 b 0
RX 46426852 272 270 b 1
RX 46428146 1294 1290 a 0
RX 46428419 273 270 b 1
RX 46428695 276 275 b 0
RX 46428969 274 270 b 1
RX 46429242 273 270 b 0
RX 46429517 275 275 b 1
RX 46430867 1350 1350 a 0
RX 46431140 273 270 b 1
RX 46432430 1290 1290 a 0
RX 46432702 272 270 b 1
RX 46432978 276 275 b 0
RX 46433250 272 270 b 1
RX 46434544 1294 1290 a 0
RX 46434816 272 270 b 1
RX 46435094 278 275 b 0
RX 46435370 276 275 b 1
RX 46436662 1292 1290 a 0
RX 46436935 273 270 b 1
RX 46437210 275 275 b 0
RX 46437483 273 270 b 1
RX 46437756 273 270 b 0
RX 46438030 274 270 b 1
RX 46439376 1346 1345 a 0
RX 46439648 272 270 b 1
