[0;32mI (32022) app_main: t=1605354891 8142000[0m
[0;32mI (33022) app_main: t=1605354892 8142000[0m
RX 32782125 6455419 6455415 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok 0
RX 32782409 284 280 b 1
RX 32783702 1293 1290 a 0
RX 32783982 280 280 b 1
RX 32784255 273 270 b 0
RX 32784502 247 245 b 1
RX 32785808 1306 1305 a 0
RX 32786092 284 280 b 1
RX 32786360 268 265 b 0
RX 32786600 240 240 b 1
RX 32786899 299 295 b 0
RX 32787163 264 260 b 1
RX 32788474 1311 1310 a 0
RX 32788753 279 275 b 1
RX 32789017 264 260 b 0
RX 32789280 263 260 b 1
RX 32790641 1361 1360 a 0
RX 32790908 267 265 b 1
RX 32792211 1303 1300 a 0
RX 32792478 267 265 b 1
RX 32792761 283 280 b 0
RX 32793009 248 245 b 1
RX 32794327 1318 1315 a 0
RX 32794593 266 265 b 1
RX 32794871 278 275 b 0
RX 32795123 252 250 b 1
RX 32796441 1318 1315 a 0
RX 32796713 272 270 b 1
RX 32796987 274 270 b 0
RX 32797243 256 255 b 1
RX 32797532 289 285 b 0
RX 32797784 252 250 b 1
RX 32799157 1373 1370 a 0
RX 32799428 271 270 b 1
RX 32800732 1304 1300 a 0
RX 32801004 272 270 b 1
RX 32801281 277 275 b 0
RX 32801512 231 230 b 1
RX 32802849 1337 1335 a 0
RX 32803118 269 265 b 1
RX 32803405 287 285 b 0
RX 32803643 238 235 b 1
RX 32804970 1327 1325 a 0
RX 32805242 272 270 b 1
RX 32805521 279 275 b 0
RX 32805763 242 240 b 1
RX 32806062 299 295 b 0
RX 32806330 268 265 b 1
RX 32807686 1356 1355 a 0
RX 32807958 272 270 b 1
RX 32809258 1300 1300 a 0
RX 32809532 274 270 b 1
RX 32809811 279 275 b 0
RX 32810069 258 255 b 1
RX 32810354 285 285 b 0
RX 32810629 275 275 b 1
RX 32811935 1306 1305 a 0
RX 32812204 269 265 b 1
RX 32813508 1304 1300 a 0
RX 32813781 273 270 b 1
RX 32814057 276 275 b 0
RX 32814331 274 270 b 1
RX 32815641 1310 1310 a 0
RX 32815910 269 265 b 1
RX 32816239 329 325 b 0
RX 32816514 275 275 b 1
RX 32817815 1301 1300 a 0
